"BehaviorSpace results (NetLogo 6.1.1)"
"QV.nlogo"
"passionate-minority-pmp-correlation"
"11/30/2020 12:21:24:212 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","payoff-include-votes-cost?","majority-mean-utility","majority-utility-stdev","minority-mean-utility","minority-utility-stdev","minority-fraction","behavior-under-qv","calibration","variance-of-pmp","number-of-voters","voting-mechanism","marginal-pivotality","utility-pmp-correlation","limit-votes?","[step]","mean payoff-sign-list"
"2","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"4","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.004"
"3","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.006"
"1","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.006"
"6","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"7","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.013"
"5","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"8","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.006"
"9","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.014"
"10","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"11","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.004"
"12","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.009"
"13","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.01"
"15","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.012"
"14","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.009"
"16","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.006"
"17","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.011"
"19","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.006"
"18","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"20","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.011"
"21","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"22","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.009"
"23","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.005"
"24","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.016"
"25","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.012"
"26","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.017"
"27","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.009"
"28","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.008"
"29","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"30","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.012"
"31","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.011"
"32","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.009"
"33","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.012"
"34","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.004"
"35","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.008"
"37","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.01"
"36","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.004"
"38","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"39","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.008"
"40","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"42","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.011"
"43","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.014"
"41","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.006"
"44","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.004"
"45","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.011"
"46","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.005"
"47","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"48","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.005"
"49","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.003"
"50","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.011"
"51","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.015"
"52","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.013"
"53","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.014"
"54","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.011"
"55","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"56","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.007"
"57","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.015"
"58","false","-4","1","6.2","1","0.4","rational","manual","0.01","1001","QV","0.5","-1","false","1000","0.01"
